lsoa_code,ward_code
E01000856,E05013655
E01000857,E05013667
E01000858,E05013655
E01000859,E05013667
E01000860,E05013667
E01000861,E05013669
E01000862,E05013667
E01000863,E05013655
E01000866,E05013664
E01000867,E05013654
E01000868,E05013654
E01000869,E05013654
E01000870,E05013664
E01000871,E05013656
E01000872,E05013656
E01000873,E05013656
E01000874,E05013656
E01000875,E05013656
E01000876,E05013656
E01000877,E05013656
E01000878,E05013657
E01000879,E05013657
E01000880,E05013657
E01000881,E05013652
E01000882,E05013652
E01000883,E05013652
E01000884,E05013657
E01000885,E05013657
E01000886,E05013658
E01000887,E05013658
E01000888,E05013658
E01000889,E05013658
E01000890,E05013658
E01000891,E05013658
E01000892,E05013658
E01000893,E05013659
E01000894,E05013659
E01000895,E05013659
E01000896,E05013659
E01000897,E05013652
E01000898,E05013658
E01000899,E05013659
E01000900,E05013660
E01000901,E05013660
E01000902,E05013660
E01000903,E05013660
E01000904,E05013660
E01000905,E05013660
E01000906,E05013660
E01000907,E05013661
E01000908,E05013661
E01000909,E05013661
E01000910,E05013661
E01000911,E05013661
E01000912,E05013661
E01000913,E05013661
E01000914,E05013662
E01000915,E05013662
E01000916,E05013662
E01000917,E05013662
E01000918,E05013662
E01000919,E05013662
E01000920,E05013662
E01000921,E05013663
E01000922,E05013664
E01000923,E05013663
E01000924,E05013663
E01000925,E05013664
E01000926,E05013664
E01000927,E05013664
E01000928,E05013663
E01000929,E05013665
E01000930,E05013665
E01000931,E05013665
E01000932,E05013665
E01000933,E05013665
E01000934,E05013665
E01000935,E05013665
E01000937,E05013666
E01000938,E05013666
E01000939,E05013666
E01000941,E05013666
E01000942,E05013653
E01000943,E05013653
E01000944,E05013668
E01000946,E05013668
E01000947,E05013668
E01000948,E05013668
E01000949,E05013668
E01000951,E05013668
E01000952,E05013669
E01000954,E05013669
E01000955,E05013669
E01000956,E05013669
E01000957,E05013654
E01000958,E05013669
E01000959,E05013669
E01000960,E05013670
E01000961,E05013670
E01000962,E05013670
E01000963,E05013667
E01000964,E05013670
E01000965,E05013670
E01000966,E05013670
E01000967,E05013667
E01000968,E05013671
E01000969,E05013671
E01000970,E05013671
E01000971,E05013671
E01000972,E05013671
E01000973,E05013671
E01000974,E05013671
E01000975,E05011463
E01000976,E05011463
E01000977,E05011462
E01000978,E05011462
E01000979,E05011463
E01000980,E05011463
E01000981,E05011463
E01000982,E05011463
E01000983,E05011462
E01000984,E05011463
E01000985,E05011482
E01000986,E05011462
E01000987,E05011462
E01000989,E05011482
E01000990,E05011482
E01000991,E05011482
E01000992,E05011462
E01000993,E05011462
E01000994,E05011464
E01000995,E05011464
E01000996,E05011464
E01000997,E05011464
E01000998,E05011464
E01000999,E05011464
E01001000,E05011464
E01001001,E05011464
E01001002,E05011464
E01001003,E05011464
E01001004,E05011464
E01001005,E05011465
E01001006,E05011465
E01001007,E05011465
E01001008,E05011465
E01001009,E05011465
E01001010,E05011465
E01001011,E05011465
E01001012,E05011465
E01001013,E05011465
E01001015,E05011474
E01001016,E05011474
E01001017,E05011474
E01001018,E05011474
E01001019,E05011474
E01001020,E05011474
E01001021,E05011474
E01001022,E05011474
E01001023,E05011466
E01001024,E05011466
E01001025,E05011466
E01001026,E05011466
E01001027,E05011466
E01001028,E05011476
E01001029,E05011476
E01001030,E05011476
E01001031,E05011466
E01001032,E05011478
E01001033,E05011484
E01001034,E05011484
E01001035,E05011484
E01001036,E05011484
E01001037,E05011484
E01001038,E05011484
E01001039,E05011484
E01001040,E05011484
E01001041,E05011484
E01001042,E05011468
E01001044,E05011475
E01001046,E05011475
E01001047,E05011484
E01001049,E05011475
E01001050,E05011463
E01001051,E05011470
E01001052,E05011470
E01001053,E05011470
E01001054,E05011470
E01001055,E05011470
E01001056,E05011470
E01001057,E05011470
E01001058,E05011481
E01001059,E05011481
E01001060,E05011481
E01001061,E05011480
E01001062,E05011483
E01001063,E05011483
E01001064,E05011480
E01001065,E05011480
E01001066,E05011480
E01001067,E05011469
E01001068,E05011469
E01001069,E05011469
E01001070,E05011469
E01001071,E05011469
E01001072,E05011469
E01001073,E05011476
E01001074,E05011476
E01001075,E05011469
E01001076,E05011471
E01001077,E05011471
E01001078,E05011471
E01001079,E05011471
E01001080,E05011471
E01001081,E05011471
E01001082,E05011471
E01001083,E05011473
E01001084,E05011473
E01001085,E05011472
E01001086,E05011472
E01001087,E05011472
E01001088,E05011472
E01001089,E05011472
E01001090,E05011472
E01001091,E05011472
E01001092,E05011476
E01001093,E05011477
E01001094,E05011476
E01001095,E05011477
E01001096,E05011477
E01001097,E05011476
E01001098,E05011476
E01001099,E05011476
E01001100,E05011477
E01001101,E05011478
E01001102,E05011478
E01001103,E05011478
E01001104,E05011478
E01001105,E05011478
E01001106,E05011478
E01001107,E05011478
E01001108,E05011478
E01001109,E05011479
E01001110,E05011479
E01001111,E05011485
E01001112,E05011485
E01001113,E05011485
E01001114,E05011479
E01001115,E05011479
E01001116,E05011479
E01001118,E05011479
E01001119,E05011481
E01001120,E05011481
E01001121,E05011481
E01001122,E05011480
E01001123,E05011480
E01001124,E05011478
E01001125,E05011480
E01001126,E05011480
E01001127,E05011483
E01001128,E05011483
E01001129,E05011483
E01001130,E05011483
E01001131,E05011482
E01001132,E05011482
E01001133,E05011482
E01001134,E05011482
E01001135,E05011483
E01001136,E05011485
E01001137,E05011467
E01001138,E05011467
E01001139,E05011486
E01001140,E05011467
E01001141,E05011485
E01001142,E05011485
E01001143,E05011485
E01001144,E05011485
E01001145,E05011485
E01001146,E05011486
E01001147,E05011486
E01001148,E05011486
E01001149,E05011486
E01001150,E05011486
E01001151,E05011486
E01001152,E05011486
E01001153,E05011486
E01001154,E05011486
E01001155,E05011486
E01001156,E05011467
E01001157,E05011473
E01001158,E05011467
E01001159,E05011467
E01001160,E05011473
E01001161,E05011473
E01001162,E05011467
E01001163,E05011467
E01001164,E05011467
E01001165,E05011487
E01001166,E05011487
E01001167,E05011487
E01001168,E05011487
E01001169,E05011487
E01001170,E05011487
E01001171,E05011487
E01001172,E05011487
E01001173,E05011487
E01001174,E05011488
E01001175,E05011488
E01001176,E05011488
E01001177,E05011488
E01001178,E05011488
E01001179,E05011488
E01001180,E05011488
E01001181,E05011488
E01001182,E05011488
E01001183,E05011488
E01001184,E05011488
E01001185,E05011489
E01001186,E05011489
E01001187,E05011489
E01001188,E05011489
E01001189,E05011489
E01001190,E05011489
E01001191,E05011489
E01001192,E05011489
E01001193,E05011489
